"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 30 18:23:30 CST 2019","Mon Dec 30 18:23:35 CST 2019","4807","","ApproveMessageSuccessTest","","ApproveMessageSuccessTest","approveMessageSuccess","approveMessageSuccess()",""
"passed","Mon Dec 30 18:28:29 CST 2019","Mon Dec 30 18:28:33 CST 2019","3559","","SearchMessageFailedTest","","SearchMessageFailedTest","messageSearchFailedTwo","messageSearchFailedTwo()","输入的ID不在数据库内，弹出信息：搜索失败！"
"passed","Mon Dec 30 18:30:02 CST 2019","Mon Dec 30 18:30:08 CST 2019","5404","","SearchUserSuccessTest","","SearchUserSuccessTest","searchUserSuccess","searchUserSuccess()",""
"passed","Mon Dec 30 18:26:44 CST 2019","Mon Dec 30 18:26:49 CST 2019","4492","","GoToUrlTest","","GoToUrlTest","goToUrl","goToUrl()",""
"passed","Mon Dec 30 18:28:45 CST 2019","Mon Dec 30 18:28:49 CST 2019","4360","","SearchMessageSuccessTest","","SearchMessageSuccessTest","messageSearchSuccess","messageSearchSuccess()",""
"passed","Mon Dec 30 18:27:43 CST 2019","Mon Dec 30 18:27:48 CST 2019","5014","","ModifyVenueFailedTest","","ModifyVenueFailedTest","modifyVenueFailedOne","modifyVenueFailedOne()","输入字符串过长，弹出信息：修改失败"
"passed","Mon Dec 30 18:30:44 CST 2019","Mon Dec 30 18:30:47 CST 2019","3144","","SearchVenueSuccessTest","","SearchVenueSuccessTest","searchVenueSuccess","searchVenueSuccess()",""
"passed","Mon Dec 30 18:27:01 CST 2019","Mon Dec 30 18:27:07 CST 2019","5586","","ModifyNewsFailedTest","","ModifyNewsFailedTest","modifyNewsFailed","modifyNewsFailed()","输入字符串过长，弹出信息：修改失败"
"passed","Mon Dec 30 18:26:24 CST 2019","Mon Dec 30 18:26:28 CST 2019","4300","","DeleteUserSuccessTest","","DeleteUserSuccessTest","deleteUserSuccess","deleteUserSuccess()","删除的是第一个用户，所以第一个用户不能是ballballtang，否则其他测试无法登录"
"passed","Mon Dec 30 18:31:21 CST 2019","Mon Dec 30 18:31:25 CST 2019","4168","","ViewPictureSuccessTest","","ViewPictureSuccessTest","viewPictureSuccess","viewPictureSuccess()","测试的是第八条新闻，该新闻必须有图片。弹出弹窗显示图片。"
"passed","Mon Dec 30 18:32:03 CST 2019","Mon Dec 30 18:32:06 CST 2019","3618","","WrongApproveOrderTest","","WrongApproveOrderTest","wrongApproveOrder","wrongApproveOrder()","未选中订单点击审核通过按钮，弹出信息：选中数量为0条"
"passed","Mon Dec 30 18:31:02 CST 2019","Mon Dec 30 18:31:05 CST 2019","3493","","ViewPictureFailedTest","","ViewPictureFailedTest","viewPictureFailed","viewPictureFailed()","测试的数据是第一条新闻，必须没有图片，否则测试失败。弹出信息：该条新闻没有图片"
"passed","Mon Dec 30 18:27:48 CST 2019","Mon Dec 30 18:27:52 CST 2019","4286","","ModifyVenueFailedTest","","ModifyVenueFailedTest","modifyVenueFailedTwo","modifyVenueFailedTwo()","场馆价格输入字母，弹出信息：输入格式不正确！"
